date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:04:45	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:47%20GMT	https://schoolable.wixsite.com/schoolgames/aa613bd1.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/aa613bd1.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:46	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:47%20GMT	https://schoolable.wixsite.com/schoolgames/395efea1.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/395efea1.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:46	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:47%20GMT	https://schoolable.wixsite.com/schoolgames/6daaad8b.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/6daaad8b.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:46	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:48%20GMT	https://schoolable.wixsite.com/schoolgames/bf91693c.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/bf91693c.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:48%20GMT	https://schoolable.wixsite.com/schoolgames/b4ae8803.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/b4ae8803.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:48%20GMT	https://schoolable.wixsite.com/schoolgames/62ccedec.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/62ccedec.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:49%20GMT	https://schoolable.wixsite.com/schoolgames/ae08c227.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/ae08c227.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:49%20GMT	https://schoolable.wixsite.com/schoolgames/11f27093.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/11f27093.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:49%20GMT	https://schoolable.wixsite.com/schoolgames/9b155e90.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/9b155e90.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:49%20GMT	https://schoolable.wixsite.com/schoolgames/4ec2545d.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/4ec2545d.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:50%20GMT	https://schoolable.wixsite.com/schoolgames/1bbe301d.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/1bbe301d.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:50%20GMT	https://schoolable.wixsite.com/schoolgames/e78a13b3.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/e78a13b3.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:50%20GMT	https://schoolable.wixsite.com/schoolgames/b604fd33.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/b604fd33.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:50%20GMT	https://schoolable.wixsite.com/schoolgames/48c6d58d.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/48c6d58d.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:51%20GMT	https://schoolable.wixsite.com/schoolgames/439c90c8.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/439c90c8.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:51%20GMT	https://schoolable.wixsite.com/schoolgames/cd69f57c.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/cd69f57c.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:51%20GMT	https://schoolable.wixsite.com/schoolgames/bc223d50.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/bc223d50.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:51%20GMT	https://schoolable.wixsite.com/schoolgames/bc2466c0.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/bc2466c0.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:52%20GMT	https://schoolable.wixsite.com/schoolgames/5d7b6bbf.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/5d7b6bbf.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:52%20GMT	https://schoolable.wixsite.com/schoolgames/3fdab364.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/3fdab364.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:52%20GMT	https://schoolable.wixsite.com/schoolgames/20d93486.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/20d93486.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:53%20GMT	https://schoolable.wixsite.com/schoolgames/9692b4a8.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/9692b4a8.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:51	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:53%20GMT	https://schoolable.wixsite.com/schoolgames/914012ea.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/914012ea.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:53%20GMT	https://schoolable.wixsite.com/schoolgames/ffa0eb8f.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/ffa0eb8f.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:53%20GMT	https://schoolable.wixsite.com/schoolgames/fe8be6d6.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/fe8be6d6.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:54%20GMT	https://schoolable.wixsite.com/schoolgames/a28cca36.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/a28cca36.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:52	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:54%20GMT	https://schoolable.wixsite.com/schoolgames/02b07b80.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/02b07b80.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:53	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:54%20GMT	https://schoolable.wixsite.com/schoolgames/265e9a4a.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/265e9a4a.min.css	(from https://schoolable.wixsite.com/schoolgames/)
07:04:53	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2015:04:54%20GMT	https://schoolable.wixsite.com/schoolgames/ff342417.min.css	C:/My%20Web%20Sites/schoolgames/schoolable.wixsite.com/schoolgames/ff342417.min.css	(from https://schoolable.wixsite.com/schoolgames/)
